Source,Target,Weight
person,spike protein,1
person,suppression,1
person,template,1
person,tgev,1
person,titre,1
person,tnf,1
person,transcription,1
person,translation,1
person,vero cell,1
person,virale,1
person,virus detection,1
person,virus replication,1
person,virus titer,1
person,vivo,1
person,vlp,1
person,western blot,1
person,western blot analysis,1
person,wild type,1
person,year period,1
pneumonia,symptom,78
pneumonia,respiratory virus,68
pneumonia,total,59
pneumonia,risk,58
pneumonia,wuhan,58
pneumonia,respiratory syncytial virus,46
pneumonia,respiratory infection,37
pneumonia,rhinovirus,37
pneumonia,risk factor,35
pneumonia,rsv,35
pneumonia,viral pneumonia,33
pneumonia,specimen,32
pneumonia,score,30
pneumonia,surveillance,29
pneumonia,prevalence,28
pneumonia,rt pcr,27
pneumonia,world health organization,23
pneumonia,september,20
pneumonia,season,19
pneumonia,subject,19
pneumonia,practice,18
pneumonia,respiratory pathogen,18
pneumonia,sequence,18
pneumonia,resource,16
pneumonia,protein,15
pneumonia,study design,15
pneumonia,university hospital,15
pneumonia,winter,15
pneumonia,woman,15
pneumonia,young child,14
pneumonia,situation,13
pneumonia,una,13
pneumonia,upper respiratory tract infection,13
pneumonia,society,12
pneumonia,taiwan,12
pneumonia,production,11
pneumonia,throat swab,11
pneumonia,viral agent,11
pneumonia,ward,11
pneumonia,receptor,10
pneumonia,ventilation,10
pneumonia,virale,10
pneumonia,sex,9
pneumonia,swab,9
pneumonia,threat,9
pneumonia,titer,9
pneumonia,replication,8
pneumonia,serotype,8
pneumonia,service,8
pneumonia,staff,8
pneumonia,standard,8
pneumonia,study period,8
pneumonia,transplantation,8
pneumonia,vitro,8
pneumonia,researcher,7
pneumonia,sera,7
pneumonia,survey,7
pneumonia,t cell,7
pneumonia,test result,7
pneumonia,tnf,7
pneumonia,travel,7
pneumonia,united states,7
pneumonia,university,7
pneumonia,variable,7
pneumonia,viral replication,7
pneumonia,virus detection,7
pneumonia,year period,7
pneumonia,rna,6
pneumonia,scale,6
pneumonia,structure,6
pneumonia,summary background,6
pneumonia,public health,5
pneumonia,regulation,5
pneumonia,release,5
pneumonia,rna virus,5
pneumonia,science,5
pneumonia,swine,5
pneumonia,training,5
pneumonia,transportation,5
pneumonia,united state,5
pneumonia,viral respiratory infection,5
pneumonia,viremia,5
pneumonia,virus isolation,5
pneumonia,worker,5
pneumonia,section,4
pneumonia,sequence analysis,4
pneumonia,serum sample,4
pneumonia,structural protein,4
pneumonia,surveillance system,4
pneumonia,team,4
pneumonia,topic,4
pneumonia,virus replication,4
pneumonia,vivo,4
pneumonia,web,4
pneumonia,residue,3
pneumonia,scenario,3
pneumonia,segment,3
pneumonia,signal,3
pneumonia,specific,3
pneumonia,spike,3
pneumonia,stimulation,3
pneumonia,total number,3
pneumonia,toxicity,3
pneumonia,transfection,3
pneumonia,translation,3
pneumonia,tropism,3
pneumonia,vietnam,3
pneumonia,viral titer,3
pneumonia,visit,3
pneumonia,western blot,3
pneumonia,rotavirus,2
pneumonia,staining,2
pneumonia,supply,2
pneumonia,template,2
pneumonia,theory,2
pneumonia,titre,2
pneumonia,transcription,2
pneumonia,transmissible gastroenteritis virus,2
pneumonia,uncertainty,2
pneumonia,vaccine candidate,2
pneumonia,viral genome,2
pneumonia,viral rna,2
pneumonia,western blot analysis,2
pneumonia,yeast,2
pneumonia,spike protein,1
pneumonia,substitution,1
pneumonia,substrate,1
pneumonia,subunit,1
pneumonia,suppression,1
pneumonia,synthesis,1
pneumonia,t cell response,1
pneumonia,t lymphocyte,1
pneumonia,target cell,1
pneumonia,tgev,1
pneumonia,transcript,1
pneumonia,transcription factor,1
pneumonia,vaccine strain,1
pneumonia,vero cell,1
pneumonia,viral antigen,1
pneumonia,viral entry,1
pneumonia,viral particle,1
pneumonia,viral protein,1
pneumonia,virus genome,1
pneumonia,virus particle,1
pneumonia,virus titer,1
pneumonia,wild type,1
practice,risk,79
practice,survey,37
practice,resource,34
practice,public health,31
practice,total,31
practice,service,29
practice,training,29
practice,surveillance,28
practice,standard,26
practice,threat,26
practice,staff,25
practice,symptom,23
practice,subject,22
practice,situation,20
practice,researcher,17
practice,theory,17
practice,risk factor,16
practice,variable,16
practice,production,15
practice,prevalence,14
practice,science,14
practice,score,14
practice,structure,14
practice,worker,14
practice,surveillance system,13
practice,team,13
practice,respiratory infection,12
practice,society,12
practice,regulation,11
practice,scale,11
practice,scenario,11
practice,university,11
practice,study design,9
practice,supply,9
practice,topic,9
practice,united states,9
practice,world health organization,9
practice,respiratory virus,8
practice,season,8
practice,taiwan,8
practice,ventilation,8
practice,web,8
practice,section,7
practice,ward,7
practice,woman,7
practice,wuhan,6
practice,respiratory syncytial virus,5
practice,rsv,5
practice,rt pcr,5
practice,user,5
practice,visit,5
practice,release,4
practice,respiratory pathogen,4
practice,rotavirus,4
practice,september,4
practice,sequence,4
practice,synthesis,4
practice,travel,4
practice,united state,4
practice,vitro,4
practice,protein,3
practice,rhinovirus,3
practice,sex,3
practice,specimen,3
practice,swine,3
practice,test result,3
practice,throat swab,3
practice,titre,3
practice,translation,3
practice,transportation,3
practice,university hospital,3
practice,vietnam,3
practice,viral genome,3
practice,year period,3
practice,receptor,2
practice,rna,2
practice,rna virus,2
practice,sequence analysis,2
practice,sera,2
practice,summary background,2
practice,transcript,2
practice,transmissible gastroenteritis virus,2
practice,transplantation,2
practice,una,2
practice,vaccine strain,2
practice,viral respiratory infection,2
practice,viral rna,2
practice,vomiting,2
practice,young child,2
practice,replication,1
practice,segment,1
practice,serotype,1
practice,serum sample,1
practice,signal,1
practice,specific,1
practice,staining,1
practice,stimulation,1
practice,study period,1
practice,substitution,1
practice,suppression,1
practice,template,1
practice,tgev,1
practice,total number,1
practice,uncertainty,1
practice,upper respiratory tract infection,1
practice,vero cell,1
practice,viral agent,1
practice,viral antigen,1
practice,viral replication,1
practice,virale,1
practice,viremia,1
practice,virion,1
practice,virus isolation,1
practice,western blot,1
practice,winter,1
prevalence,risk,55
prevalence,total,54
prevalence,respiratory virus,51
prevalence,risk factor,43
prevalence,rhinovirus,34
prevalence,respiratory syncytial virus,33
prevalence,sequence,32
prevalence,symptom,32
prevalence,survey,27
prevalence,season,26
prevalence,sera,25
prevalence,rt pcr,24
prevalence,rsv,23
prevalence,specimen,23
prevalence,surveillance,23
prevalence,rotavirus,22
prevalence,serum sample,21
prevalence,respiratory infection,20
prevalence,subject,20
prevalence,sex,18
prevalence,winter,18
prevalence,protein,16
prevalence,rna,16
prevalence,sequence analysis,16
prevalence,respiratory pathogen,15
prevalence,variable,14
prevalence,production,13
prevalence,scenario,12
prevalence,specific antibody,11
prevalence,swine,11
prevalence,threat,11
prevalence,young child,11
prevalence,study period,10
prevalence,swab,10
prevalence,scale,9
prevalence,situation,9
prevalence,study design,9
prevalence,september,8
prevalence,tgev,8
prevalence,transmissible gastroenteritis virus,8
prevalence,united states,8
prevalence,resource,7
prevalence,service,7
prevalence,structure,7
prevalence,titer,7
prevalence,woman,7
prevalence,public health,6
prevalence,score,6
prevalence,spike,6
prevalence,staff,6
prevalence,total number,6
prevalence,visit,6
prevalence,worker,6
prevalence,year period,6
prevalence,rna virus,5
prevalence,serotype,5
prevalence,surveillance system,5
prevalence,throat swab,5
prevalence,una,5
prevalence,university hospital,5
prevalence,upper respiratory tract infection,5
prevalence,viral agent,5
prevalence,science,4
prevalence,taiwan,4
prevalence,test result,4
prevalence,uncertainty,4
prevalence,university,4
prevalence,virale,4
prevalence,western blot,4
prevalence,receptor,3
prevalence,researcher,3
prevalence,summary background,3
prevalence,supply,3
prevalence,titre,3
prevalence,travel,3
prevalence,tropism,3
prevalence,united state,3
prevalence,user,3
prevalence,vaccine strain,3
prevalence,vietnam,3
prevalence,viral rna,3
prevalence,ward,3
prevalence,web,3
prevalence,world health organization,3
prevalence,wuhan,3
prevalence,release,2
prevalence,residue,2
prevalence,section,2
prevalence,society,2
prevalence,staining,2
prevalence,standard,2
prevalence,structural protein,2
prevalence,t cell,2
prevalence,template,2
prevalence,theory,2
prevalence,ventilation,2
prevalence,viral respiratory infection,2
prevalence,viremia,2
prevalence,virus detection,2
prevalence,virus genome,2
prevalence,vitro,2
prevalence,vomiting,2
prevalence,replication,1
prevalence,segment,1
prevalence,signal,1
prevalence,substitution,1
prevalence,substrate,1
prevalence,subunit,1
prevalence,target cell,1
prevalence,team,1
prevalence,topic,1
prevalence,toxicity,1
prevalence,transcript,1
prevalence,translation,1
prevalence,transportation,1
prevalence,vaccine candidate,1
prevalence,viral genome,1
prevalence,viral particle,1
prevalence,viral protein,1
prevalence,viral replication,1
prevalence,virion,1
prevalence,virus isolation,1
prevalence,vivo,1
prevalence,western blotting,1
prevalence,wild type,1
prevalence,yeast,1
production,protein,192
production,receptor,86
production,replication,69
production,vitro,67
production,tnf,59
production,viral replication,50
production,release,46
production,rna,44
production,structure,43
production,t cell,43
production,stimulation,34
production,regulation,33
production,synthesis,33
production,risk,32
production,sequence,29
production,toll,28
production,vivo,28
production,symptom,27
production,sera,25
production,virus replication,22
production,threat,21
production,viral protein,21
production,transcription,20
production,viral rna,20
production,residue,19
production,signal,18
production,subunit,18
production,suppression,18
production,t lymphocyte,18
production,total,18
production,virion,18
production,rt pcr,15
production,titer,15
production,specific antibody,14
production,resource,13
production,spike,13
production,surveillance,13
production,transcription factor,13
production,vaccine candidate,13
production,vlp,13
production,scale,12
production,swine,12
production,target cell,12
production,tgev,12
production,viral antigen,12
production,public health,11
production,rhinovirus,11
production,rna virus,11
production,spike protein,11
production,standard,11
production,toxicity,11
production,translation,11
production,wild type,11
production,researcher,10
production,respiratory infection,10
production,respiratory syncytial virus,10
production,rsv,10
production,subject,10
production,t cell response,10
production,vero cell,10
production,viral genome,10
production,viral titer,10
production,western blot analysis,10
production,situation,9
production,supply,9
production,titre,9
production,yeast,9
production,section,8
production,serum sample,8
production,society,8
production,specific,8
production,staining,8
production,substitution,8
production,transmissible gastroenteritis virus,8
production,vesicular stomatitis virus,8
production,viremia,8
production,western blot,8
production,respiratory virus,7
production,science,7
production,score,7
production,serotype,7
production,structural protein,7
production,topic,7
production,transfection,7
production,viral entry,7
production,virus particle,7
production,risk factor,6
production,rotavirus,6
production,segment,6
production,specimen,6
production,template,6
production,vsv,6
production,respiratory pathogen,5
production,scenario,5
production,season,5
production,transcript,5
production,uncertainty,5
production,western blotting,5
production,worker,5
production,service,4
production,sex,4
production,substrate,4
production,taiwan,4
production,theory,4
production,transplantation,4
production,transportation,4
production,tropism,4
production,united states,4
production,user,4
production,vaccine strain,4
production,variable,4
production,viral respiratory infection,4
production,young child,4
production,study design,3
production,study period,3
production,united state,3
production,upper respiratory tract infection,3
production,viral particle,3
production,virale,3
production,virus entry,3
production,visit,3
production,surveillance system,2
production,survey,2
production,total number,2
production,university,2
production,vietnam,2
production,winter,2
production,woman,2
production,world health organization,2
production,sequence analysis,1
production,staff,1
production,summary background,1
production,swab,1
production,test result,1
production,training,1
production,travel,1
production,una,1
production,viral agent,1
production,virus detection,1
production,virus isolation,1
production,virus titer,1
production,vomiting,1
production,web,1
production,wuhan,1
production,year period,1
protein,structure,277
protein,sequence,236
protein,replication,194
protein,vitro,170
protein,rna,153
protein,receptor,148
protein,residue,137
protein,viral protein,130
protein,spike,127
protein,regulation,108
protein,virion,99
protein,viral replication,94
protein,synthesis,86
protein,signal,79
protein,sera,78
protein,structural protein,75
protein,transcription,75
protein,virus replication,73
protein,translation,72
protein,subunit,67
protein,vivo,65
protein,release,64
protein,rna virus,64
protein,tgev,53
protein,sequence analysis,52
protein,t cell,51
protein,transcript,50
protein,segment,49
protein,total,48
protein,specific antibody,47
protein,tnf,44
protein,viral genome,43
protein,viral rna,43
protein,titer,37
protein,virus particle,37
protein,western blot,37
protein,wild type,36
protein,spike protein,35
protein,substitution,34
protein,yeast,33
protein,risk,32
protein,target cell,32
protein,vaccine candidate,32
protein,serum sample,31
protein,stimulation,31
protein,substrate,31
protein,western blotting,30
protein,transmissible gastroenteritis virus,29
protein,viral entry,29
protein,transfection,28
protein,western blot analysis,28
protein,serotype,27
protein,vero cell,27
protein,vlp,27
protein,staining,26
protein,transcription factor,26
protein,tropism,26
protein,suppression,25
protein,virus entry,23
protein,specific,21
protein,swine,21
protein,symptom,21
protein,t lymphocyte,21
protein,rotavirus,20
protein,rt pcr,20
protein,vesicular stomatitis virus,20
protein,t cell response,19
protein,vsv,19
protein,score,18
protein,subject,18
protein,toll,18
protein,viral particle,18
protein,threat,17
protein,toxicity,17
protein,template,16
protein,virus titer,16
protein,researcher,15
protein,viral antigen,15
protein,viral titer,15
protein,scale,14
protein,science,13
protein,respiratory syncytial virus,12
protein,respiratory virus,11
protein,rhinovirus,11
protein,situation,11
protein,titre,11
protein,user,11
protein,resource,10
protein,specimen,10
protein,surveillance,10
protein,vaccine strain,10
protein,rsv,9
protein,theory,9
protein,public health,8
protein,scenario,8
protein,topic,8
protein,virus genome,8
protein,risk factor,7
protein,survey,7
protein,young child,7
protein,training,6
protein,university,6
protein,web,6
protein,respiratory infection,5
protein,section,5
protein,standard,5
protein,variable,5
protein,viral agent,5
protein,viremia,5
protein,wuhan,5
protein,service,4
protein,supply,4
protein,transplantation,4
protein,world health organization,4
protein,respiratory pathogen,3
protein,season,3
protein,sex,3
protein,society,3
protein,study design,3
protein,summary background,3
protein,taiwan,3
protein,una,3
protein,united states,3
protein,woman,3
protein,surveillance system,2
protein,upper respiratory tract infection,2
protein,vietnam,2
protein,virale,2
protein,virus detection,2
protein,vomiting,2
protein,year period,2
protein,september,1
protein,staff,1
protein,study period,1
protein,swab,1
protein,test result,1
protein,throat swab,1
protein,total number,1
protein,transportation,1
protein,united state,1
protein,viral respiratory infection,1
protein,worker,1
public health,threat,49
public health,risk,34
public health,resource,22
public health,surveillance,20
public health,service,15
public health,structure,15
public health,university,13
public health,wuhan,13
public health,researcher,11
public health,surveillance system,11
public health,united states,11
public health,sequence,10
public health,society,10
public health,world health organization,10
public health,risk factor,9
public health,science,9
public health,training,9
public health,regulation,8
public health,scenario,8
public health,standard,8
public health,total,8
public health,united state,8
public health,situation,7
public health,supply,7
public health,survey,7
public health,team,7
public health,theory,7
public health,topic,7
public health,release,6
public health,scale,6
public health,travel,6
public health,worker,6
public health,respiratory virus,5
public health,rna virus,5
public health,rt pcr,5
public health,staff,5
public health,subject,5
public health,september,4
public health,specimen,4
public health,symptom,4
public health,uncertainty,4
public health,user,4
public health,replication,3
public health,respiratory pathogen,3
public health,respiratory syncytial virus,3
public health,season,3
public health,study design,3
public health,swab,3
public health,toll,3
public health,total number,3
public health,translation,3
public health,una,3
public health,viral agent,3
public health,viral genome,3
public health,web,3
public health,winter,3
public health,respiratory infection,2
public health,rna,2
public health,rsv,2
public health,sera,2
public health,signal,2
public health,specific antibody,2
public health,spike,2
public health,spike protein,2
public health,taiwan,2
public health,transcript,2
public health,transportation,2
public health,tropism,2
public health,variable,2
public health,ventilation,2
public health,viral pneumonia,2
public health,viral replication,2
public health,viral rna,2
public health,virus detection,2
public health,visit,2
public health,vitro,2
public health,vlp,2
public health,woman,2
public health,residue,1
public health,rhinovirus,1
public health,rotavirus,1
public health,score,1
public health,section,1
public health,segment,1
public health,sequence analysis,1
public health,serotype,1
public health,sex,1
public health,stimulation,1
public health,substitution,1
public health,subunit,1
public health,summary background,1
public health,suppression,1
public health,t cell,1
public health,t cell response,1
public health,template,1
public health,test result,1
public health,titer,1
public health,tnf,1
public health,toxicity,1
public health,transcription,1
public health,transplantation,1
public health,university hospital,1
public health,vaccine strain,1
public health,vietnam,1
public health,viral protein,1
public health,viral titer,1
public health,virale,1
public health,virus titer,1
public health,vivo,1
public health,ward,1
public health,western blot,1
public health,wild type,1
public health,young child,1
receptor,toll,91
receptor,structure,62
receptor,vitro,50
receptor,regulation,49
receptor,replication,47
receptor,tnf,34
receptor,residue,32
receptor,stimulation,30
receptor,sequence,29
receptor,signal,29
receptor,t cell,29
receptor,target cell,28
receptor,rna,26
receptor,virus entry,26
receptor,vivo,26
receptor,spike protein,25
receptor,spike,24
receptor,viral replication,23
receptor,release,22
receptor,risk,21
receptor,virus replication,18
receptor,viral entry,16
receptor,rna virus,15
receptor,subunit,15
receptor,symptom,15
receptor,total,14
receptor,virion,14
receptor,synthesis,13
receptor,tropism,13
receptor,tgev,12
receptor,viral protein,12
receptor,sera,11
receptor,substitution,11
receptor,viral rna,11
receptor,staining,10
receptor,subject,10
receptor,substrate,10
receptor,transcription factor,10
receptor,virus particle,10
receptor,wuhan,10
receptor,suppression,9
receptor,transcript,9
receptor,t cell response,8
receptor,t lymphocyte,8
receptor,transcription,8
receptor,researcher,7
receptor,segment,7
receptor,specific,7
receptor,threat,7
receptor,toxicity,7
receptor,transmissible gastroenteritis virus,7
receptor,wild type,7
receptor,risk factor,6
receptor,rsv,6
receptor,viral genome,6
receptor,respiratory syncytial virus,5
receptor,respiratory virus,5
receptor,rt pcr,5
receptor,section,5
receptor,sequence analysis,5
receptor,serotype,5
receptor,sex,5
receptor,specific antibody,5
receptor,virus titer,5
receptor,western blotting,5
receptor,rotavirus,4
receptor,scenario,4
receptor,science,4
receptor,situation,4
receptor,specimen,4
receptor,structural protein,4
receptor,surveillance,4
receptor,titer,4
